sentence1	sentence2	gold_label
A pilot dressed in a dark-colored sweater is sitting in the cock-pit of a plane with his hands crossed.	The pilot is flying around the airspace.	contradiction
A man is going down a river in a kayak.	A woman is going down a river in a kayak	contradiction
A dog running through snow.	an animal asleep in the grass	contradiction
A black dog and tan dog run towards each other on a beach.	A cat sitting on a couch.	contradiction
The dogs in numbered uniforms are running.	Dogs are trying to catch cats.	contradiction
Mom and her son put together a wooden track for cars.	Mom is tucking son into bed.	contradiction
Two motorcycle racers are rounding a corner on the track at a sharp angle, close to the ground.	The runners are rounding the turn.	contradiction
A cook is caught in the action of cooking, with steam billowing out from a series of pats.	A woman is waiting for her food.	contradiction
A man in casual clothes is speaking in front of people.	politicians lways wear casuals	contradiction
A boy jumping off the high diving board.	A boy jumps off a tower of blocks.	contradiction
The men are working on bikes in a workshop.	The man is sleeping.	contradiction
A lady in a blue swimsuit is swimming underwater.	a camel trudges through a waterless desert.	contradiction
A group of individuals attend a park where they practice their martial arts.	The group is building a militia to combat rodents.	contradiction
A blurry photo of a couple on a bench watching other people play.	The bench was empty	contradiction
A man on a yellow sport bike does a wheelie as his friend on a black bike catches up.	the men are riding tricycles at toysrus	contradiction
Children playing flag football.	There are only adults playing flag football.	contradiction
A woman wearing hat and a blue jacket is very big.	A slim young woman eats salad	contradiction
Gardener digs through the dirt for potatoes.	A gardener plants tomatoes.	contradiction
A woman in a purple sweater stands with her arms folded beside several pieces of luggage while two other women stand beside her, looking in her direction.	Three women are sitting and playing bingo.	contradiction
A brown dog swims and carries a brown object.	The lazy dog is sleeping under the tree.	contradiction
A orange kitten biting the nose of a child.	The child is not near a cat.	contradiction
People watching a man breakdance.	People watch a man climb a rope.	contradiction
a Young child holds on to a post with his face pressed against it.	Two officials discuss a play.	contradiction
Group of young women and men dressed formally eat their lunches.	The people were wearing overalls.	contradiction
A man has just teed off at a beautiful golf course with palm trees and vibrant green grass.	The man is fixing his bike.	contradiction
Three runners race past at a track meet.	4 runners are chasing a child predator on a track field.	contradiction
A man wheels his suitcase down the sidewalk.	The man is sitting down.	contradiction
A black and brown dog with a tan dog on a cement path in front of grass	Two dogs chasing each other on the beach.	contradiction
Fishermen on the beach organize their nets.	The fishermen are sitting in their cars.	contradiction
A guy is playing a video game on the computer.	The man is glad he running a marathon instead of wasting his time on the couch.	contradiction
A woman wearing glasses poses for the camera with three men.	The man is posing for the camera.	contradiction
A cop in a blue shirt pulling over a car in the city.	A policeman running after a bank robber.	contradiction
Six men sitting around a desk with computers while a woman dressed in a white suit looks through papers.	These people are enjoying the great outdoors while taking a hike.	contradiction
Two men having a conversation about business over beers.	The men are talking about baseball.	contradiction
A soccer player is laying down injured being assisted by the referee and another player.	Two soccer players run down the field.	contradiction
A man is receiving a kiss from a toddler while holding an infant.	The man is eating	contradiction
Two men working with the computer within their apartment.	Two women are using a computer.	contradiction
Man and jumping dog perform Frisbee act for crowd at outdoor event.	The man and dog are performing in front of 1 person.	contradiction
A mountain biker jumps off of a fence while going downhill.	A biker is resting on the side of the road.	contradiction
Two individuals sit on a park bench.	Two people do jumping jacks near a bench.	contradiction
A woman dances next to a stage during a music festival.	A woman sits in a chair.	contradiction
A young boy skateboards on a sidewalk at a skate park.	A boy plays at a swimming pool.	contradiction
Two women and two small girls are looking over books in a library.	No one is in a library.	contradiction
An old couple is walking up a sand mound.	A young couple is walking on a sand dune.	contradiction
A group of students during spring brake.	They are at home.	contradiction
Five young girls wading and splashing in a shallow pool.	There are girls in a car.	contradiction
A man wearing safety glasses welds the tire of a bicycle.	A man is driving a pick up truck.	contradiction
A group of race buggies travel down a racetrack.	A group of race buggies in a museum.	contradiction
A large group of asian people are crowding around some sort of float at some sort of festival.	A group of black people go fishing on a Wednesday.	contradiction
A man is panting a piece of wood.	A woman is sewing a sweater.	contradiction
Asian men and women sitting on blue plastic stools eating.	There are people standing near stools	contradiction
A woman is laying a blanket over fresh produce outside.	A woman is putting out some food	contradiction
A man is performing in the street playing two instruments at the same time.	The  man is near a street watching a performer.	contradiction
A crowd watching air balloons at night.	No one is paying attention to the air balloons in the sky.	contradiction
A toddler wearing a blue helmet is being shown his bike from his father.	A toddler is being shown a rabbit.	contradiction
A bird sits in a tree.	There is no bird in a tree.	contradiction
A man is sitting down and playing a guitar like instrument.	A man standing up and jamming with his trumpet.	contradiction
A young girl is picking blossoms from a tree.	A young child is sleep in the kitchen.	contradiction
A man takes a swan dive off a cliff while others look on.	A woman taking a swan dive.	contradiction
A man is holding a basket above his head.	A man is driving his car full of groceries.	contradiction
A young boy smiling next to the ocean.	A boy is near a swimming pool.	contradiction
A large crow of people with their hands raised.	A single man with his hand raised	contradiction
One of the visible wires is thicker then the other.	Both wires belong to a wireless mouse.	contradiction
A man is climbing a rock formation.	The man jumps of the rock cliff and lands on his feet, uninjured.	contradiction
Three people stand outside one has a camera on a tripod.	The three people are sitting down to dinner.	contradiction
a girl in a green uniform and a girl in a white uniform are holding lacrosse sticks.	There are two girls, one in green and the other in white, baking cupcakes.	contradiction
A man in a yellow Hawaiian shirt is playing a guitar and singing with a guy in a black shirt.	Two men are playing drums.	contradiction
A man is hitting a tennis ball in a professional match.	A man hits the baseball.	contradiction
Two boys are ready to receive a ball at a tennis match.	The two boys are tying their shoelaces.	contradiction
There is an asian family gathering in the middle of a public street.	A group of Vulcans are gathering on Galactica.	contradiction
A man with an RC crane handling pipes.	A cow is swimming in a pool.	contradiction
A young boy and girl sitting together in a garden with a bucket between them.	The children are riding down the hill in a bobsled.	contradiction
A man in a brown hat and black vest is walking across an empty field while a small airplane is taking off along side him.	A baseball player getting ready to bat.	contradiction
A man dressed in a cowboy hat and a blue unbuttoned shirt is smiling in a shed.	The man is in a bar.	contradiction
A skateboarder casts a shadow jumping down stairs.	A skateboarder crashed	contradiction
A man and women waiting at a crosswalk	A man and women are sleeping at a crosswalk.	contradiction
Group of people in a small dimly lit area reading something.	A group of people reading the newspaper in the afternoon sun at the park.	contradiction
Topless old man wearing slippers, navy blue pants and a white hat while reclining in a chair outside.	There is a topless woman lounging outdoors	contradiction
A boy in a red shirt, blue jeans and orange socks brushes the teeth of a plush alligator.	The boy has a dragon as a pet.	contradiction
The man has his arm on the woman as they shop in an outdoor market.	A man and a woman are standing by their wedding cake.	contradiction
A man in a cluttered motorboat rows whilst his female passenger has a look of disappointment on her face.	The woman is enjoying her time boating in the lake.	contradiction
A female singer with orange tights jumping with her drummer behind her.	A singer is jumping in the middle of the forest and nobody is around her	contradiction
A woman in a colorful dress and headscarf displays mounds of fresh vegetables on a street.	The woman is baking a cake in her home.	contradiction
An individual wearing rose jacket site idle on a wooden bench.	a car crash	contradiction
A child with a skull on his shirt is sitting in front of some plants and a building and is holding onto handlebars.	A kid is playing on the monkey bars.	contradiction
"A woman's hand with blue nail polish and a tattoo that says ""no regrets."""	"Man's hand with a tattoo saying ""Only Regrets"""	contradiction
A woman wringing out a mop.	The woman is running in a marathon.	contradiction
A dog playing in the waves with a ball.	A dog on its back in the grass.	contradiction
NYPD officers watch people on a boardwalk near the beach.	The officers are seated at the police station.	contradiction
Two little girls are hanging upside-down on a climbing frame.	The two girls are driving a car down main street.	contradiction
He is calling his wife to tell he will be coming late.	A man is kissing his wife.	contradiction
A little boy wearing a yellow tank top is laughing.	A little girl in a dress is crying.	contradiction
a man wearing a yellow shirt standing in the middle of a bunch of garbage and a graffitied wall.	A man is laying down making garbage angels in a landfill.	contradiction
A man is tossing a toddler into the air.	Men is siting sown with the baby.	contradiction
A black woman in a white tank top, red pants, and white sneakers carries a plastic bag and walks down a sidewalk with paintings on one side.	A white male is walking down the street carrying a  canvas bag.	contradiction
A girl with pink and blue balloon on her head is sitting with a group of children on the grass.	The girl is sitting alone inside her house	contradiction
A teenage boy on a bicycle does tricks.	the girl is on the bike	contradiction
The basketball player is wearing a Florida jersey.	The basketball player is wearing nothing/	contradiction
A man standing in front of an icy mountain.	The volcano begins to belch thick smoke as the scientist watches.	contradiction
A man is juggling bottles that are on fire.	A man is sleeping.	contradiction
A firefighter preparing to put a car fire out.	A cop is arresting a person.	contradiction
Someone is walking down a snowy sidewalk on a cloudy day.	A person walks in the rain in spring.	contradiction
A man cutting a block of ice.	A man is cutting wood.	contradiction
A young child in a jacket and a hat sleeping.	The dogs were playing a video game while the family was away.	contradiction
A young boy with blue hair is brushing his teeth.	A boy is brushing his green hair.	contradiction
Children and a woman play in a fountain.	Everyone who is shown is riding on a bus.	contradiction
A woman in a red vest helps a child with a bathroom sink.	There was a cat inside the bathroom.	contradiction
Skateboarder performing a grab trick in the air over a bowl.	THE SKATEBOARDER IS DRINKING A SODA	contradiction
A female softball player hit the ball and is running towards first base.	a softball player strikes out	contradiction
A man rests with his hands over his head while shirtless.	A woman takes a break after weeding the garden.	contradiction
Two people are facing each other in a dirty alley.	A mother is about to give birth.	contradiction
a black dog plays with a ball in the water.	the dog is on the chair	contradiction
Three people are sitting at an outside picnic bench with an umbrella.	Three people are sitting at an inside bench	contradiction
Male wearing brown shirt holding a microphone with an expression of singing.	A man throwing snowballs.	contradiction
A man and woman are washing dishes.	A boy breaks dishes.	contradiction
Rock band Def Leppard, pictured counterclockwise include Rick Savage, Vivian Campbell, Joe Elliot, and Phil Collen, looking up to drummer Rick Allen on an elevated stage platform during a concert performance.	Nobody on stage	contradiction
A man in a top hat playing the accordion.	A man is sleeping on a park bench.	contradiction
A woman, a boy, and a dog are walking up a hill.	There is one person running on a flat road.	contradiction
A woman who is dressed up peddles on her bike while holding an umbrella.	A woman is sitting at home.	contradiction
Artist showing off his work of women's faces and hair.	An artist is sketching a woman's face	contradiction
People are sitting in a balcony overlooking a large room below that has four chandeliers.	People are standing on a balcony.	contradiction
A group if kids giving a demonstration in a classroom.	Kids are putting on a play.	contradiction
A little boy is running during a soccer game.	The boy is sitting at a table.	contradiction
man in red shirt climbing rock cliff	The man in the red shirt is sitting in his car, waiting for the rain to stop.	contradiction
A small crowd of people are talking in the center of an open air marketplace.	The crowd is looting a store.	contradiction
A line of people is forming in front of a tent that appears to be closed to the public.	People are sitting in a circle.	contradiction
Surrounded by spectators, a man in a red shirt, white pants and visor, swings a golf club.	A man in a cap swings a bat.	contradiction
A black and white dog carrying a large stick	A housecat climbs a tree.	contradiction
Several children riding on a merry-go-round in cool weather.	The children are running through a school.	contradiction
Four people with black hair pose for a picture with windows in the background.	Four people pose for the camera outside under the willow tree.	contradiction
Black children in an open-air hut write on wooden tablets.	Black children in an open-air hut are writing on paper.	contradiction
A black dog with a green collar holds a red and blue object in its mouth.	The cat is holding a toy.	contradiction
Some adults play Cricket on a nice day.	Adults play golf in a stadium.	contradiction
A man in an orange jacket clears the street with a piece of Mercedes equipment.	Man plays with his dog.	contradiction
A group of children in soccer uniforms chase after a soccer ball on a grassy field.	The man is picking apples from the tree.	contradiction
A man driving a custom made firetruck.	A man drives a jeep.	contradiction
Two golden dogs fight with each other in the snow.	the cat was in the snow	contradiction
A blond female tennis playing hitting the ball.	A brunette female is playing tennis	contradiction
Three young men are indoors, one inspecting a bow.	Three young men are inspecting a rifle.	contradiction
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	A big band perfomance on a ship plays to a crowd of women.	contradiction
An Asian fisherman sits in his boat.	A Caucasian woman is tying up her boat while standing on a dock.	contradiction
A woman with white hair chisels at an uncompleted sculpture.	A women is painting a forest.	contradiction
A man in a white baseball cap is sitting on a boat with his feet in a yellow net.	The man loses his hat on the rollercoaster.	contradiction
A shirtless man poses with a girl hiking in a park.	Man and woman in formal attire, ready for a meeting.	contradiction
A man in black is walking to his truck in the snow.	The man is a world-class sprinter, and has just won the gold medal at the Olympics!	contradiction
A blond in flip-flops and shorts is sitting on a yellow chair outside.	A blond in flip-flops and shorts is ice skating.	contradiction
Two children with necklaces, painted faces and earrings embrace near a thatched object on a sunny day.	Two children with necklaces walk through the supermarket.	contradiction
A young blond, male tourist in an orange shirt, carrying his camera, pauses on a busy sidewalk.	A man is running nonstop because the mugger that took his passport is now chasing him with a gang of delinquents.	contradiction
An intense roller derby event reaching its peak.	A friendly sports competition stays relaxed and civilized.	contradiction
Wonderful clear skies and beautiful night.	The sun is obscured by the clouds.	contradiction
A young boy wearing blue plays in a room with a lot of toys.	A young girl is wearing blue.	contradiction
Three people are standing on the ruined building with their arms outstretched.	Six people admire the new renovations to their home.	contradiction
The lady in blue bikini is walking.	A lady is wearing blue jeans.	contradiction
Little boy in denim runs through paved, Spanish-style yard area.	The little boy is not wearing any clothes.	contradiction
A red car parked next to a cow in a field.	A truck is carrying a cow down the street.	contradiction
As confetti flies, a soccer team in white uniforms celebrates.	The team is eating pizza at an arcade.	contradiction
Special Olympics woman runner on the track.	The athletes are pole-vaulting.	contradiction
A woman sitting at a counter is looking up.	The woman is standing at the counter looking at people on the street.	contradiction
A man sitting on a rail with balloons.	A man is sitting on a chair.	contradiction
Three girls walk under an arbor on a path surrounded by trees.	Nobody is walking.	contradiction
This is a young man playing a brown electric guitar and singing into a microphone.	A man is playing a piano and humming.	contradiction
A black dog is in midair as a woman behind it cheers.	A dog is sleeping	contradiction
A man in black taking his leashed cat on a walk.	A man feeding a stray cat a bowl of milk.	contradiction
a crane flying just above a body of water	A crane is sitting over a nest.	contradiction
A man in an orange uniform standing in front of a building that is billowing smoke.	The man is standing in front of a forest.	contradiction
Street vendors talk to each other while others walk by.	The vendors were closing shop.	contradiction
Two boys jumping on a trampoline.	The boys is sleeping  in a bed.	contradiction
A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl.	The girl was playing with Lincoln Logs.	contradiction
A man in a yellow hard hat leans against a ledge and a man stands on scaffolding in the distance at a construction site.	Some people are setting up scaffolding at a construction site.	contradiction
A soccer player dressed in blue holding a soccer ball preparing to throw it.	There are many people watching a tennis match.	contradiction
A bald man in black dress pants and a white button-down shirt is standing on a section of an orange construction vehicle.	The new trend in construction wear is black-tie.	contradiction
A soaking wet dog walks across a stream.	Two cats run through the streem.	contradiction
Dancers a standing on a sidewalk.	Some dancers are sitting in a plane on its way to Hollywood.	contradiction
A young man dressed in blue swimming trunks and a red life jacket waterskiing in a blue lake.	A guy sun bathing on a beach.	contradiction
A woman with short hair and a tank top is holding something up in her hand.	The woman has long hair.	contradiction
A group of people crossing a busy street.	The street is quiet.	contradiction
Two men wearing athletic gear and ear protection are wrestling on a wooden floor.	Two women wearing athletic gear and ear protection are wrestling on a wooden floor.	contradiction
The long-haired man is dressed up as a pirate with a red bandanna.	The man has no hair.	contradiction
A boy in a black tank top is hammering a nail into a piece of wood.	The boy is playing with a ball.	contradiction
A man is playing tug-of-war with his dog.	A man and cat are playing	contradiction
A man wearing a button-up shirt plays a flute while carrying a bottle and a large stick with many flutes on one end.	A man is playing the oboe to advertise the other oboes he is selling.	contradiction
the man is purchasing meat at the grocery store	the woman is purchasing meat at the grocery store	contradiction
A boy wearing sunglasses on his forehead and a woman wearing sunglasses on her eyes are staring.	People are wearing nothing but their birthday suits.	contradiction
Watching a child from behind as their long hair flies out.	The person is turned away from the child.	contradiction
Two musicians of Asian descent play guitars.	The two Asians are typing.	contradiction
A man and two women are riding a vehicle that is racing past the surrounding scenery.	A cat in a hammock.	contradiction
Two performers putting on a mock fight for an audience that is watching attentively.	Two men fight to the death.	contradiction
A male basketball player wearing a black uniform is trying to block a male basketball player wearing a white uniform.	Nobody is playing basketball.	contradiction
Three people wearing costumes are standing around talking.	People are sleeping	contradiction
A man with glasses wearing ornate clothing sitting down with an ornament in his hand.	A man at the hospital getting an x-ray.	contradiction
The two dogs, one dark and one light colored, are running outdoors.	Two dogs playing indoors.	contradiction
A woman wearing a dark skirt and a t-shirt is facing a bathroom sink.	A woman is cooking at home.	contradiction
Two men stop to talk, standing on chunks of tree trunks.	The men are sleeping.	contradiction
A little girl reads a book in a bed.	A girl is turning out the lights by her bed.	contradiction
A man is paddling a boat during a sunset.	A man is jet skiing at the beach.	contradiction
A man scaling fish near the body of water.	A man is at the petting zoo.	contradiction
The woman is reading a book.	A woman is watching television.	contradiction
A white crane flies over water.	A bird is swimming in the water.	contradiction
A child swings and the sunshine shines down on her.	A child is going down the slide.	contradiction
A man and a dog who are both wearing sunglasses take a ride.	The man and his cat are wearing hats.	contradiction
Person at help desk using telephone	A person is eating pizza.	contradiction
Children playing lacrosse on a small field.	The field is in space.	contradiction
A little Asian boy has on a green shirt, while holding a small green shovel.	The boy is holding a red shovel.	contradiction
A Chinese dragon is walking in front of a building.	The chinese dragon was unable to walk today.	contradiction
The cowboy waves to the rodeo crowd.	The clown was waving to the crowd.	contradiction
A young boy about the age of 2 sits on gray rocks while holding something small in his hand.	Pinky poodle pent to Pundome.	contradiction
Three women talking and laughing, while 2 hold glasses of wine.	Three women reading silently	contradiction
A pretty young dark-haired woman, wearing a black skirt and light plum-colored shirt, sitting on a cement border of a raised flower bed in the city.	A man sit on cement next to flowers.	contradiction
Young boys in football jerseys getting showered with water outside.	The soccer players are inside the gym.	contradiction
People enjoying cookout food in a public park.	People are at a stadium watching a Miley Cyrus concert.	contradiction
Guy walking down the street in a dirty city.	A man is hiking in a beautiful park.	contradiction
Young mother and child heading somewhere.	The child is sleeping in bed.	contradiction
One chef with blue oven mittens on both hands and a chef hat on his head making room for food he just removed from the oven	A couple of chef's are sitting down eating.	contradiction
A man holding his foot out to the camera, while sitting on a red couch next to a sleeping woman.	A man rustles cattle.	contradiction
Two children and two adults are gathered around a table.	A family is gathered around a tree.	contradiction
A small girl giggling while playing on a toy.	A baby crying.	contradiction
A stoplight is yellow next to a pedestrian crossing sign.	The yellow light will turn green next	contradiction
A person in a helmet on a motorcycle	Nobody has a helmet	contradiction
Child in a striped shirt is swinging from a rope swing.	A child is reading a book in bed.	contradiction
Children interact with a young bovine.	The children interact with a bear cub.	contradiction
A asian couple having something to eat.	An Asian couple having something to eat on a roller coaster.	contradiction
A cloudy sky above a busy city street.	A clear sky above a suburban area	contradiction
A young baby boy is about to sneeze next to his mother.	A baby boy is taking a nap.	contradiction
A group of black people are all in their bathing suits and are standing around fountains which are shooting water on them.	People are being sprayed with chocolate sauce.	contradiction
An overcrowded bus traveling down the street with people hanging off the back of it.	the bus is empty	contradiction
2 Men in a classroom, one standing and one sitting while participating in a discussion.	There are two men in a classroom who are sleeping.	contradiction
Nurses in a hospital looking over supplies.	A nurse is treating a patient.	contradiction
People are walking or riding bicycles in the street of a town.	People are sliding on their stomachs in the street with purple goo.	contradiction
A man sitting on a newspaper machine behind a big yellow arrow sign that says insurance.	The man is standing on the machine holding a blue sign.	contradiction
A skinny shirtless indian boy wearing shorts is jumping to the lake.	A fat shirtless european boy is jumping to the lake.	contradiction
A little boy rides his bike among shadows next to a round metal table.	A boy is opening presents at his birthday party	contradiction
two men and a woman playfully exercising, on an apartment floor.	People are doing yoga in the park.	contradiction
A child wearing a white shirt is walking through the green grass.	The child in a white shirt is sitting in church.	contradiction
A man with a shaved head is getting ready to kick a soccer ball while other players run on the field behind him.	A group of people are playing baseball.	contradiction
A bald man is cooking on a stove, throwing a stabbed fish in a pan.	A man sitting with his wife.	contradiction
A female ballet dancer in white and another ballet dancer in green perform arm-in-arm, with the image of a columned building in the background.	Two dancers are running through the crowd.	contradiction
A girl leaning over towards some penned cows.	A girl chases ducks around the pond.	contradiction
Employee in pink shirt smiles for camera inside a restaurant kitchen.	A customer sticking her tongue out while standing outside.	contradiction
A female basketball player in a white uniform is shooting a free throw.	Basket players sitting and watching the match.	contradiction
In the warm sun, a rugged, but well-dressed man, has fallen asleep.	A man is sleeping in his bathing suit on the beach.	contradiction
Two guys are assembling a monument on top of a tree.	A cup is filled with coffee.	contradiction
This dog does n't seem to appreciate how awesome his hat is.	The dog complained in English.	contradiction
People mill around a square dominated by an over-sized display of a girl on a ladder.	A dog climbing a ladder	contradiction
A young girl sliding down a black pole.	A girl painting the pole black.	contradiction
Three people are on a city sidewalk- an Asian couple and a woman with red dye in her hair- all wearing sunglasses.	Three people wearing sunglasses indoors really stick out.	contradiction
A girl with a pink tiara and pink balloon and a guy laughing.	There is a man laughing while eating popcorn.	contradiction
A man kneels in the snow.	A man is playing basketball with his friends.	contradiction
A young man and woman interact with an elderly woman in a wheelchair.	A man and women are not talking to an elderly women	contradiction
Three children sitting around a rock.	Three kids swim in the pool.	contradiction
A blond girl about 11 with a purple shirt and checkered green and white and black knee high shorts playing a game that requires her to roll an object up and down on a string.	The blond girl is playing the drums on a busy street corner.	contradiction
A guy jumps to make a basketball shot.	A guy is taking a nap.	contradiction
Young man with yellow hair and a striped blue shirt with blue jeans on, is playing a game of pool.	a cat drinks milk	contradiction
A street performer plays a guitar while a woman in pink walks past.	The woman in pink is sitting.	contradiction
Two men, dressed in black, are standing on a sidewalk in an urban area while one lights a cigarette.	A woman buys chapstick.	contradiction
two children hug.	The children are screaming and fighting.	contradiction
Asian men sit with neutral expressions as though waiting for something, one man is talking on his cellphone.	The men are sleeping.	contradiction
Bolivian herder and the llamas in the fields.	A herder and sheep in the fields.	contradiction
A woman in a light blue shirt with white sleeves cuts a watermelon.	A woman in a red shirt blows up balloons.	contradiction
Three hockey players struggle with the puck in front of the goal.	There are people figure skating.	contradiction
a boy smiles underwater.	The boy is asleep.	contradiction
A helmeted BMX biker leaps into the air on his bike.	Two people dancing.	contradiction
Two men push their children in strollers during a race.	The men are sleeping in the street because they are homeless.	contradiction
Several people on a stage with a blue background.	The stage is empty.	contradiction
A black dog walks along a rocky beach.	A dog is napping on the porch.	contradiction
Five young lady getting ready to run the 100m dash	Five men finish up a 1000 meter race	contradiction
A woman in a green shirt is running a race and looking at her watch.	A woman in blue tells another woman the time.	contradiction
A brown-haired boy is wearing a red t-shirt and headphones as he watches TV.	The boy listening to his television through a surround-sound system.	contradiction
Large light fixture in busy operating room.	Small LED lamp in empty storage closet.	contradiction
Several Asians are looking at an assortment of green vegetables in an outdoor market.	Several Asians point to red tomatoes.	contradiction
A man in a green jacket stands in deep snow at the base of a mountain.	Man enjoys the Bahamas.	contradiction
A man wearing a tuxedo is kissing his bride, who is wearing a white wedding gown.	People attend a funeral.	contradiction
A man in a blue shirt and tan pants is bowling.	The man in the blue shirt is standing in line for a hot dog.	contradiction
A man is pedaling a bicycle down the walkway of a lighted tunnel.	A man met an accident with his bicycle.	contradiction
Girls posing with rainbow in the sky.	The sky never has a rainbow.	contradiction
A man and a girl are sitting on a bench.	A man and a girl are walking through the park.	contradiction
Two combatants in a rugby stadium making a move on each other, one wearing green with ball and defended by #5 in the maroon colors.	Two combatants in a rugby stadium, shooting rockets at one another.	contradiction
A girl in a band standing in red lights.	A girl in a band is sitting on stage.	contradiction
A man making a sculpture.	A man paints a picture.	contradiction
A crowd shopping for olives at the market being helped by people wearing green aprons.	The people are going to shop for wine.	contradiction
An Asian child is blowing bubbles	the child is sleeping	contradiction
A man is jumping it a meadow	The man is laying in a meadow.	contradiction
A male snowboarder in an orange sweatshirt is doing a trick on a table at the mountain.	A woman in a blue shirt is doing a trick on a table.	contradiction
A heavyset man running a Pro-Saw concrete saw with a piece of white construction equipment in the background.	The heavyset man is using a hammer.	contradiction
There is a person standing on top of a stairway outside of a Costco store.	A person is watching tv	contradiction
Two surgeons performing a surgery.	Two surgeons are swimming.	contradiction
A group of people in green shirts push a cannon in a parade.	People in yellow are pushing a cannon.	contradiction
People are playing water polo and the ball is close to the goalie.	People play cards in a bar.	contradiction
A woman in a blue tank top is sitting at a table.	The woman is at the swimming pool practising her breast stroke	contradiction
Orange SUV drive by the shore.	A motorcycle driving by the shore.	contradiction
Two young girls are talking to each other.	two young girls are fighting	contradiction
The ponies look like they love each other.	The ponies are flying	contradiction
A guy playing a guitar on a stage smiling.	A guys plays the drums in the studio.	contradiction
Three athletes in red and white uniforms and helmets.	The athletes are wearing a blue and black uniform.	contradiction
A woman in a red outfit is playing a electric guitar.	The person is on a couch.	contradiction
A man in a black jacket and blue jeans carrying a camera walking up to the front of a cave that has the front of it blocked off by bars.	a man is running with a backpack on	contradiction
The adult and two children are looking at nature.	Nobody is looking.	contradiction
The skier moves down the hill on a beautiful day.	The skier is relaxing in the lounge.	contradiction
A crowd of people are gathered with a sky scene in the background.	People are gathered with a ground scene in the background.	contradiction
A child holding a white, plastic spoon.	And adult is holding out his empty hands.	contradiction
A child sits on a motorcycle which as an American flag coming out the back.	A child is riding in a bus.	contradiction
A policeman wearing a neon green vest has a whistle in his mouth while directing traffic.	A policeman is wearing a black vest.	contradiction
A new mother in a red shirt is giving her newborn baby a bath in the sink.	A mother rocking her baby to sleep	contradiction
A man with backpack stands in front of a brown brick wall.	A man with a backpack is riding a bike.	contradiction
A small child stands in front of short white table.	a grown man infront of a table	contradiction
A young child is enjoying a ride.	The child is made of sand	contradiction
Two German Sheppard dogs are fighting.	Two Beagle dogs. are playing.	contradiction
A dog with a red ball.	A cat has a red ball.	contradiction
People cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way.	People are on a boat leaving the bay.	contradiction
A mother pushes two children on swings at a park.	Mother eathing a dinner iwht her children.	contradiction
A man with chin-length light hair works on a sculpture.	A man is playing checkers.	contradiction
Woman in a bikini top is walking on the beach	The woman is wearing a spandex body suit	contradiction
Man in black pants, white shirt playing a flue as a lady in pink dances	A band director tries to impress an old woman the best way he knows how	contradiction
Two accordion players in period costumes perform between two maroon-colored antique cars.	two woman stealing an accordion	contradiction
Half naked man leaning out of window taking pictures.	A clothed man is taking pictures.	contradiction
A boy wearing a bike helmet, jeans, and a striped shirt and a girl wearing a green shirt and jeans ride bikes with training wheels down a sidewalk.	The boy is sitting in a chair on the sidewalk.	contradiction
A man in gray is pushing his bicycle down the street.	The man is rollerblading down the street.	contradiction
Two people are relaxing on a beach amidst lounge chairs	The dog and the woman are laying under the lounge chairs.	contradiction
People are checking out at target.	Women run outside.	contradiction
A woman sitting down checking her cellphone.	The lady is running past the bench	contradiction
A female is helping a child drive a bumper car.	A man is helping a woman drive a bumper car.	contradiction
A man is standing on top of a large pile of hay which is being pulled in a cart by two horses.	A man stands atop of some trash heap.	contradiction
Man in yellow behind the wheel of a tractor, hooked to a trailer and under an open sided roof, while others climb on the back.	The man is driving a bus.	contradiction
Two little boys are fixing a little bike.	Two boys are fixing a scooter.	contradiction
A bunch of people laying or sitting on the ground outside.	A group is watching a movie in a dark room.	contradiction
Multiple men wearing colorful uniforms carry guns and get situated in a jeep.	The jeep is made of pure gold	contradiction
A young boy, playing soccer, is wearing a green jersey and black shorts and has his face buried in his hands.	The young boy is the quarterback during the soccer game.	contradiction
A black dog has just run down a blue and red ramp on an obstacle course.	The dog is red	contradiction
Two hockey players bumps against each other while skating on the ice.	The hockey players are putting their gear away.	contradiction
The woman in glasses is smiling with the ocean in the background	The woman is mad that her glasses are broken.	contradiction
The scuba diver is underwater.	The diver is buying a bottle of water at the beach concession stand.	contradiction
Two people cleaning greens in the sunset.	The people are juggling tennis balls.	contradiction
A man with a red jacket is shielding himself from the sun trying to read a piece of paper.	A man is sitting inside reading the newspaper.	contradiction
A man is handing a young boy food items from his mobile motorcycle food cart.	A woman is handing a boy magazines .	contradiction
A dog jumps by a tree while another lays on the ground.	Two puppies are snuggled into their bed.	contradiction
A man in a green t-shirt stands at a rail with a woman in a gray t-shirt and a wrist tattoo.	The woman is standing alone.	contradiction
A woman in a green shirt is holding a white cardboard box.	the woman in the bikini read a book by the ocean	contradiction
People are dancing on rollerblades in a gym with wooden floor and blue wall in the background.	The gym floor is gravel	contradiction
A man gets his hair washed by a woman in what seems to be a barber shop.	A man taking a shower.	contradiction
two dogs staring at each other.	Canines are completely ignoring one another.	contradiction
Man about to jump onto a bed set up on a bridge.	A man is sleeping on his porch	contradiction
Cowboy being hit by a bull inside the bullring after falling off the bull.	A cowboy realizing his profession relies on cruelty to animals and walking away.	contradiction
